 Fe Density=7.874
 Energy(eV), Delta, Beta
  199.879639  0.0208021514  0.0105746146
  202.665863  0.0203584395  0.0101760915
  205.490906  0.0199147686  0.00979260169
  208.355347  0.0194726996  0.00942355115
  211.259705  0.0190332122  0.00906838104
  214.204544  0.0185965654  0.00872665271
  217.190445  0.0181619059  0.00839776266
  220.217957  0.0177291781  0.00808126852
  223.287674  0.0172922947  0.00777751114
  226.400192  0.0168614555  0.00750303874
  229.556091  0.0164459571  0.00725466292
  232.755981  0.0160475466  0.00701451115
  236.000458  0.0156631842  0.006782318
  239.290176  0.0152899949  0.00655779382
  242.625763  0.0149269104  0.0063407151
  246.007828  0.0145734129  0.00613082247
  249.437057  0.0142291468  0.00592787145
  252.914062  0.0138938436  0.00573163945
  256.439545  0.0135673219  0.00554190623
  260.01416  0.0132495202  0.00535845058
  263.638641  0.0129407635  0.00518107042
  267.313599  0.0126413926  0.0050095669
  271.039825  0.0123519534  0.00484373141
  274.817963  0.0120814918  0.00467884913
  278.648773  0.0118188011  0.00450638728
  282.53299  0.0115511762  0.00432773028
  286.471375  0.0112797851  0.00415615318
  290.4646  0.0110105034  0.0039913808
  294.513519  0.0107442131  0.00383313582
  298.618896  0.0104819853  0.00368116936
  302.781494  0.0102241794  0.00353522319
  307.002106  0.00997105893  0.00339506799
  311.281525  0.00972285494  0.00326047419
  315.620605  0.00947976764  0.00313120685
  320.020203  0.00924196001  0.00300706807
  324.48111  0.00900964718  0.00288784597
  329.004181  0.00878336467  0.00277336151
  333.590363  0.00856742915  0.00266340864
  338.240417  0.00835666992  0.00254947506
  342.955322  0.00814610068  0.00243325648
  347.735901  0.00793471653  0.00232210709
  352.58316  0.0077251303  0.00221602828
  357.497986  0.00751789706  0.00211479096
  362.481323  0.00731360726  0.00201818603
  367.534119  0.00711261574  0.00192598964
  372.657349  0.00691491412  0.00183800643
  377.85199  0.00671943929  0.00175404456
  383.119019  0.00652614143  0.00167565083
  388.459473  0.0063375691  0.00160573411
  393.87439  0.00615744665  0.00154061615
  399.364807  0.00598493824  0.00147632638
  404.931732  0.00581543846  0.00141199247
  410.576233  0.00564883556  0.00134976511
  416.299469  0.00548544712  0.00129027979
  422.102448  0.00532549527  0.00123341754
  427.986359  0.00516901258  0.00117905962
  433.95224  0.00501598185  0.00112709391
  440.001282  0.00486611621  0.00107742217
  446.134674  0.00471958658  0.00102994184
  452.353577  0.00457631703  0.000984550919
  458.659119  0.00443621585  0.000941161416
  465.052582  0.00429919781  0.000899684441
  471.535156  0.00416518981  0.000860034197
  478.108093  0.00403410289  0.00082213222
  484.772644  0.00390563323  0.000785898708
  491.530151  0.00377991376  0.000751225394
  498.381775  0.00365673471  0.000717988762
  505.328979  0.00353596127  0.000686188403
  512.372986  0.00341751636  0.000655797077
  519.515198  0.00330131198  0.000626751513
  526.756958  0.00318721868  0.000598990591
  534.09967  0.00307492213  0.000572460995
  541.544739  0.00296425866  0.000547107018
  549.093506  0.00285520498  0.000522874296
  556.74762  0.00274759042  0.000499715621
  564.508362  0.00264120917  0.000477583497
  572.377319  0.00253581512  0.000456430396
  580.355957  0.00243112654  0.000436213944
  588.445801  0.00232658605  0.000416894647
  596.648438  0.00222124276  0.000399161334
  604.965332  0.00211584987  0.000382590224
  613.398315  0.00200981996  0.000366797671
  621.948669  0.00190228946  0.000351644208
  630.618347  0.00179213937  0.000336974976
  639.408813  0.0016779271  0.000322578009
  648.321838  0.00155767146  0.000308361225
  657.35907  0.00142444251  0.000294446771
  666.522278  0.00127391785  0.000281162153
  675.813293  0.00109484245  0.000268930191
  685.233704  0.000860424596  0.000257687381
  694.785522  0.000462090335  0.0002472013
  704.470398 -0.00103344559  0.000237246961
  714.290344  0.000321503059  0.00192554283
  724.247192  0.000789389713  0.0018376573
  734.342834  0.0010277133  0.00175379147
  744.579163  0.00117465656  0.00167376688
  754.958191  0.0012715949  0.00159741775
  765.481934  0.00133638782  0.00152456888
  776.152344  0.00137798174  0.00145517453
  786.971436  0.00140041206  0.00138945994
  797.941406  0.00140012708  0.00132825458
  809.06427  0.00139917957  0.00129608368
  820.342224  0.00140207377  0.00126626051
  831.777283  0.00140793447  0.00123712071
  843.371826  0.00141726469  0.00120864948
  855.127991  0.00143098563  0.00117628172
  867.047974  0.0014468889  0.00113293936
  879.134155  0.00145322818  0.00108070776
  891.388855  0.00144795806  0.00103090354
  903.814331  0.00143849221  0.000983383972
  916.413025  0.00142552087  0.000938044919
  929.187317  0.00140989374  0.00089510408
  942.139648  0.00139233621  0.00085447228
  955.272583  0.00137333781  0.000815815758
  968.588562  0.00135321822  0.000779022055
  982.09021  0.00133208558  0.000743871846
  995.779968  0.00131021091  0.000710293767
  1009.66058  0.00128782436  0.000678208948
  1023.7348  0.00126502488  0.000647479435
  1038.005  0.00124190527  0.000617998594
  1052.47424  0.00121851149  0.000589694944
  1067.14514  0.0011948077  0.000562532106
  1082.02051  0.001170806  0.00053661433
  1097.10339  0.00114669732  0.000511892897
  1112.39636  0.00112260086  0.0004883082
  1127.90259  0.00109858171  0.000465808844
  1143.62488  0.00107468863  0.000444349251
  1159.56641  0.00105096726  0.000423880178
  1175.73022  0.00102746219  0.000404351333
  1192.11926  0.00100419356  0.000385721796
  1208.73682  0.000981174526  0.00036795027
  1225.58594  0.000958509394  0.000350997259
  1242.66992  0.000936184661  0.000334765209
  1259.99194  0.000914202421  0.000319206621
  1277.55554  0.000892538112  0.000304285291
  1295.36401  0.000871149765  0.000289986201
  1313.42078  0.000850041222  0.000276362029
  1331.72913  0.000829252996  0.000263377675
  1350.29272  0.000808824552  0.000251000718
  1369.11511  0.000788766833  0.000239204048
  1388.19983  0.000769086997  0.000227962606
  1407.55054  0.000749791274  0.000217250781
  1427.17102  0.000730887579  0.000207042962
  1447.06506  0.000712386274  0.00019731361
  1467.23621  0.000694272981  0.000188028091
  1487.68884  0.000676576688  0.000179157578
  1508.42639  0.000659250887  0.000170636777
  1529.453  0.000642266066  0.000162492695
  1550.77271  0.000625626475  0.000154733614
